,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Baingan Bharta (Eggplant Curry),93mg,146,2mg,6.2g,50mcg,1mg,38mg,2mg,410,559mg,4g,4.32051277160645,47564/baingan-bharta-eggplant-curry/,indian,1.0g,739mg,8g,0mg,Baingan Bharta (Eggplant Curry),15.2g,8g,596IU,0mg,12mg
Chicken Parmigiana,445mg,528,184mg,5.6g,70mcg,4mg,80mg,23mg,2k,804mg,43.5g,4.5751047134399405,8975/chicken-parmigiana/,italian,8.0g,1309mg,17g,0mg,Chicken Parmigiana,44.9g,18.3g,1097IU,1mg,3mg
Shrimp Scampi with Pasta,52mg,511,135mg,3.5g,144mcg,5mg,62mg,8mg,2k,268mg,21.9g,4.55847930908203,229960/shrimp-scampi-with-pasta/,italian,7.0g,260mg,1g,0mg,Shrimp Scampi with Pasta,57.5g,19.4g,849IU,0mg,10mg
Hearty Meatball Sandwich,196mg,491,75mg,3g,30mcg,5mg,39mg,12mg,198,441mg,29.3g,4.50761413574219,59030/hearty-meatball-sandwich/,italian,8.0g,1068mg,5g,0mg,Hearty Meatball Sandwich,43.1g,21.4g,145IU,0mg,1mg
Pork Chops Italiano,57mg,290,63mg,2g,24mcg,2mg,40mg,11mg,951,691mg,25.3g,4.553571224212651,219005/pork-chops-italiano/,italian,5.0g,339mg,4g,1mg,Pork Chops Italiano,7.8g,17.6g,217IU,1mg,32mg
Kay's Spaghetti and Lasagna Sauce,93mg,206,34mg,3.8g,31mcg,4mg,46mg,6mg,986,728mg,13.2g,4.36906385421753,23602/kays-spaghetti-and-lasagna-sauce/,italian,3.0g,379mg,9g,0mg,Kay's Spaghetti and Lasagna Sauce,22g,8.4g,1034IU,0mg,41mg
Tagliatelle with Coriander Pesto,92mg,663,11mg,3.9g,189mcg,4mg,76mg,7mg,25,319mg,16.5g,4.0,217292/tagliatelle-with-coriander-pesto/,italian,7.0g,190mg,4g,0mg,Tagliatelle with Coriander Pesto,64.8g,39.4g,1001IU,0mg,5mg
Tilapia Scaloppine,63mg,262,57mg,1.6g,10mcg,1mg,42mg,5mg,287,564mg,24.2g,4.504464149475099,84737/tilapia-scaloppine/,italian,5.0g,222mg,0g,0mg,Tilapia Scaloppine,5g,14.2g,294IU,0mg,24mg
Prune and Olive Chicken,49mg,402,97mg,1.2g,11mcg,3mg,37mg,10mg,260,386mg,31.2g,4.6584157943725595,8900/prune-and-olive-chicken/,italian,6.0g,308mg,13g,0mg,Prune and Olive Chicken,16.5g,22.4g,405IU,1mg,2mg
Original Homemade Italian Beef,130mg,557,103mg,2.2g,59mcg,6mg,31mg,10mg,905,310mg,31.9g,4.64833354949951,91597/original-homemade-italian-beef/,italian,11.0g,4233mg,7g,0mg,Original Homemade Italian Beef,38.4g,28.8g,315IU,0mg,1mg
World's Best Lasagna,442mg,448,82mg,4g,80mcg,4mg,67mg,10mg,29k,876mg,29.7g,4.79050922393799,23600/worlds-best-lasagna/,italian,10.0g,1788mg,9g,0mg,World's Best Lasagna,36.5g,21.3g,1454IU,0mg,17mg
Chicken Marsala,25mg,448,99mg,0.5g,23mcg,2mg,40mg,20mg,7k,411mg,28.8g,4.53660821914673,8887/chicken-marsala/,italian,10.0g,543mg,3g,0mg,Chicken Marsala,13.3g,26.6g,393IU,1mg,2mg
"Bow Ties with Sausage, Tomatoes and Cream",91mg,656,111mg,3.4g,121mcg,3mg,43mg,7mg,5k,350mg,20.1g,4.68594837188721,26257/bow-ties-with-sausage-tomatoes-and-cream/,italian,20.0g,1088mg,7g,0mg,"Bow Ties with Sausage, Tomatoes and Cream",50.9g,42.1g,1693IU,0mg,17mg
Eggplant Parmesan II,512mg,487,73mg,8.8g,50mcg,4mg,63mg,10mg,4k,815mg,24.2g,4.45294952392578,25321/eggplant-parmesan-ii/,italian,7.0g,1663mg,20g,0mg,Eggplant Parmesan II,62.1g,16g,1089IU,0mg,5mg
Italian Spaghetti Sauce with Meatballs,140mg,349,77mg,4.5g,46mcg,6mg,59mg,9mg,4k,1023mg,18.9g,4.52386522293091,21353/italian-spaghetti-sauce-with-meatballs/,italian,6.0g,1492mg,12g,0mg,Italian Spaghetti Sauce with Meatballs,23.7g,21.2g,825IU,1mg,33mg
Garlic Cheddar Chicken,280mg,400,129mg,0.5g,20mcg,2mg,37mg,18mg,4k,265mg,34.5g,4.6103458404541,70522/garlic-cheddar-chicken/,italian,15.0g,488mg,1g,0mg,Garlic Cheddar Chicken,8.4g,24.9g,657IU,1mg,1mg
Gourmet Mushroom Risotto,70mg,431,29mg,2.7g,37mcg,2mg,24mg,8mg,4k,692mg,11.3g,4.79156494140625,85389/gourmet-mushroom-risotto/,italian,7.0g,1131mg,4g,0mg,Gourmet Mushroom Risotto,56.6g,16.6g,520IU,0mg,4mg
Chicken Parmesan,380mg,471,187mg,0.6g,31mcg,2mg,44mg,19mg,7k,389mg,42.1g,4.81814861297607,223042/chicken-parmesan/,italian,9.0g,840mg,2g,0mg,Chicken Parmesan,24.8g,24.9g,628IU,1mg,3mg
American Lasagna,759mg,664,168mg,4.2g,108mcg,6mg,78mg,15mg,2k,872mg,50.9g,4.68015432357788,11729/american-lasagna/,italian,15.0g,1900mg,14g,0mg,American Lasagna,48.3g,29.5g,1758IU,0mg,23mg
Chicken Milano,76mg,641,156mg,2.8g,124mcg,3mg,77mg,22mg,3k,681mg,36.3g,4.62079763412476,19304/chicken-milano/,italian,17.0g,501mg,5g,0mg,Chicken Milano,47g,34.8g,1116IU,1mg,5mg
Slow Cooker Italian Beef for Sandwiches,17mg,318,100mg,0.2g,15mcg,3mg,35mg,12mg,2k,530mg,39.4g,4.62986755371094,16427/slow-cooker-italian-beef-for-sandwiches/,italian,6.0g,819mg,1g,0mg,Slow Cooker Italian Beef for Sandwiches,1.6g,15.8g,30IU,0mg,0mg
Babi's Bean Salad,103mg,273,0mg,7.6g,304mcg,4mg,93mg,4mg,6,750mg,11.2g,4.428571224212651,50220/babis-bean-salad/,lebanese,1.0g,231mg,11g,0mg,Babi's Bean Salad,38.2g,9.8g,5414IU,0mg,51mg
Lebanese Chicken and Potatoes,51mg,592,65mg,6.5g,55mcg,3mg,86mg,11mg,281,1436mg,26.7g,4.14338254928589,89833/lebanese-chicken-and-potatoes/,lebanese,6.0g,81mg,3g,0mg,Lebanese Chicken and Potatoes,53.9g,30.5g,86IU,1mg,75mg
Fattoush,87mg,482,0mg,3.8g,119mcg,2mg,41mg,4mg,20,516mg,6.2g,4.3600001335144,86283/fattoush/,lebanese,5.0g,394mg,5g,0mg,Fattoush,35.4g,36.5g,2781IU,0mg,55mg
Middle Eastern Kibbeh,22mg,159,38mg,1.7g,14mcg,1mg,24mg,3mg,63,193mg,10.9g,4.59090900421143,143265/middle-eastern-kibbeh/,lebanese,3.0g,228mg,1g,0mg,Middle Eastern Kibbeh,7.4g,9.6g,31IU,0mg,2mg
Lebanese Donair,236mg,990,128mg,6.8g,145mcg,10mg,118mg,25mg,40,1404mg,57.5g,4.349999904632569,88233/lebanese-donair/,lebanese,14.0g,471mg,6g,1mg,Lebanese Donair,47.6g,64.7g,1837IU,1mg,45mg
Mellas Family Lamb Stuffed Zucchini (Koosa),129mg,511,76mg,5g,86mcg,5mg,79mg,12mg,14,1185mg,26.2g,4.25,207936/mellas-family-lamb-stuffed-zucchini-koosa/,lebanese,8.0g,1593mg,9g,0mg,Mellas Family Lamb Stuffed Zucchini (Koosa),44.8g,26.6g,762IU,1mg,49mg
Mediterranean Meat Pies (Sfeeha),14mg,412,34mg,1.2g,52mcg,3mg,29mg,6mg,42,174mg,12.7g,4.56666660308838,216879/mediterranean-meat-pies-sfeeha/,lebanese,8.0g,162mg,1g,0mg,Mediterranean Meat Pies (Sfeeha),26.4g,28.7g,15IU,0mg,3mg
Lamb Shawarma,60mg,376,115mg,0.4g,31mcg,3mg,34mg,8mg,83,380mg,29g,4.625,214029/lamb-shawarma/,lebanese,11.0g,966mg,2g,0mg,Lamb Shawarma,3g,26.8g,106IU,0mg,3mg
Kafta (BBQ),21mg,227,74mg,0.5g,18mcg,2mg,23mg,8mg,174,327mg,22g,4.41780805587769,64519/kafta/,lebanese,5.0g,459mg,1g,0mg,Kafta (BBQ),2.3g,13.9g,453IU,0mg,8mg
Tabbouleh III,38mg,244,0mg,4.6g,37mcg,1mg,46mg,2mg,226,338mg,3.3g,4.42009115219116,14438/tabbouleh-iii/,lebanese,3.0g,593mg,2g,0mg,Tabbouleh III,19g,18.5g,1127IU,0mg,26mg
Lentil and Green Collard Soup,170mg,307,0mg,10.5g,126mcg,4mg,22mg,1mg,175,660mg,15.2g,4.44767427444458,137450/lentil-and-green-collard-soup/,lebanese,1.0g,1779mg,3g,0mg,Lentil and Green Collard Soup,38.6g,11.8g,4694IU,0mg,38mg
Thick-Style Lebanese Garlic Sauce,4mg,123,0mg,0.1g,1mcg,2mg,3mg,0mg,161,13mg,0.1g,4.13207530975342,150654/thick-style-lebanese-garlic-sauce/,lebanese,2.0g,165mg,0g,0mg,Thick-Style Lebanese Garlic Sauce,0.9g,13.6g,1IU,0mg,2mg
Lebanese Lemon Salad Dressing,5mg,176,0mg,0.2g,3mcg,0mg,2mg,0mg,145,33mg,0.2g,4.47474765777588,164512/lebanese-lemon-salad-dressing/,lebanese,3.0g,321mg,1g,0mg,Lebanese Lemon Salad Dressing,2.4g,18.7g,5IU,0mg,10mg
Cilantro and Garlic Potatoes,34mg,250,0mg,4.4g,37mcg,2mg,46mg,3mg,66,847mg,4.1g,4.15942049026489,83246/cilantro-and-garlic-potatoes/,lebanese,2.0g,17mg,2g,0mg,Cilantro and Garlic Potatoes,33.4g,11.8g,782IU,1mg,41mg
Chicken Shawarma,168mg,402,58mg,4g,108mcg,4mg,60mg,13mg,69,554mg,23.3g,3.8529412746429403,52407/chicken-shawarma/,lebanese,3.0g,420mg,5g,1mg,Chicken Shawarma,44g,15.2g,755IU,0mg,14mg
Best Hummus,11mg,27,0mg,0.6g,9mcg,0mg,5mg,0mg,104,29mg,0.7g,4.436363697052,231081/best-hummus/,lebanese,0.0g,28mg,0g,0mg,Best Hummus,2.5g,1.7g,94IU,0mg,2mg
Lebanese Lemon Lentil Soup,62mg,268,12mg,13.9g,218mcg,4mg,60mg,4mg,88,509mg,12g,4.339622497558589,223354/lebanese-lemon-lentil-soup/,lebanese,3.0g,755mg,2g,0mg,Lebanese Lemon Lentil Soup,37.8g,8.2g,2408IU,0mg,15mg
Traditional Hummus,152mg,560,0mg,5.9g,76mcg,4mg,49mg,4mg,73,248mg,8.6g,4.48888874053955,223276/traditional-hummus/,lebanese,7.0g,244mg,0g,0mg,Traditional Hummus,22.5g,50.5g,37IU,0mg,3mg
Lebanese Garlic Sauce,13mg,191,0mg,0.2g,1mcg,0mg,2mg,0mg,45,38mg,0.5g,3.92105269432068,64229/lebanese-garlic-sauce/,lebanese,3.0g,74mg,0g,0mg,Lebanese Garlic Sauce,3g,20.3g,2IU,0mg,6mg
"Chard Lentil Soup, Lebanese-Style",59mg,361,0mg,11.8g,151mcg,4mg,91mg,5mg,40,1124mg,10.5g,4.5945944786071795,234775/chard-lentil-soup-lebanese-style/,lebanese,2.0g,931mg,3g,0mg,"Chard Lentil Soup, Lebanese-Style",50.7g,14g,1120IU,1mg,58mg
Chocolate Decadence Yule Log,44mg,377,98mg,1.6g,26mcg,2mg,21mg,2mg,104,98mg,6g,3.9264705181121804,15704/chocolate-decadence-yule-log/,french,8.0g,230mg,50g,0mg,Chocolate Decadence Yule Log,58.8g,14.1g,353IU,0mg,0mg
Gratin Dauphinois de Solange,493mg,627,180mg,3.3g,32mcg,1mg,56mg,6mg,13,746mg,17.2g,4.875,246439/gratin-dauphinois-de-solange/,french,31.0g,209mg,1g,0mg,Gratin Dauphinois de Solange,29.5g,49.9g,1845IU,1mg,31mg
Traditional Layered French Croissants,23mg,213,45mg,0.7g,55mcg,1mg,7mg,2mg,51,60mg,3.2g,4.35294103622437,190997/traditional-layered-french-croissants/,french,9.0g,140mg,2g,0mg,Traditional Layered French Croissants,18.8g,14g,456IU,0mg,0mg
Cali's Sinful Creme Brulee,111mg,680,419mg,1.2g,38mcg,1mg,34mg,2mg,102,192mg,6.6g,4.59154939651489,83905/calis-sinful-creme-brulee/,french,33.0g,58mg,37g,0mg,Cali's Sinful Creme Brulee,42.6g,55.8g,2049IU,0mg,1mg
Beef Bourguignon II,112mg,583,125mg,4.1g,57mcg,4mg,57mg,10mg,571,730mg,32.2g,4.44901323318481,16905/beef-bourguignon-ii/,french,15.0g,1333mg,7g,0mg,Beef Bourguignon II,21.9g,31g,5701IU,1mg,13mg
Chef John's Creme Fraiche ,11mg,52,20mg,0g,1mcg,0mg,1mg,0mg,291,13mg,0.4g,4.850746154785161,222387/chef-johns-creme-fraiche/,french,3.0g,7mg,0g,0mg,Chef John's Creme Fraiche ,0.5g,5.5g,219IU,0mg,0mg
Chef John's Coq Au Vin,27mg,337,82mg,0.8g,21mcg,2mg,35mg,11mg,1k,473mg,24.4g,4.8521399497985795,239230/chef-johns-coq-au-vin/,french,6.0g,582mg,2g,0mg,Chef John's Coq Au Vin,7.9g,18g,380IU,0mg,4mg
Chicken Cordon Bleu II,272mg,584,195mg,0.3g,17mcg,1mg,55mg,23mg,9k,473mg,41.6g,4.777490615844731,8669/chicken-cordon-bleu-ii/,french,24.0g,655mg,1g,0mg,Chicken Cordon Bleu II,7.7g,40.9g,1399IU,1mg,12mg
Creamy Au Gratin Potatoes,484mg,499,77mg,4.4g,78mcg,2mg,77mg,7mg,7k,1184mg,19.8g,4.5263776779174805,15925/creamy-au-gratin-potatoes/,french,16.0g,683mg,9g,0mg,Creamy Au Gratin Potatoes,49.3g,25.4g,939IU,1mg,19mg
Basic Crepes,56mg,216,111mg,0.8g,71mcg,2mg,14mg,3mg,6k,115mg,7.4g,4.63456344604492,16383/basic-crepes/,french,5.0g,235mg,2g,0mg,Basic Crepes,25.5g,9.2g,357IU,0mg,0mg
Chicken Cordon Bleu I,379mg,419,124mg,0.8g,25mcg,2mg,60mg,25mg,4k,457mg,46.1g,4.61169767379761,8495/chicken-cordon-bleu-i/,french,10.0g,932mg,1g,0mg,Chicken Cordon Bleu I,12.6g,19.4g,407IU,1mg,12mg
French Baguettes,7mg,113,17mg,0.8g,66mcg,1mg,8mg,3mg,2k,40mg,3.8g,4.7673544883728,7028/french-baguettes/,french,0.0g,196mg,1g,0mg,French Baguettes,22g,0.9g,21IU,0mg,0mg
French Onion Soup Gratinee,759mg,618,114mg,4.2g,111mcg,3mg,61mg,8mg,2k,543mg,29.7g,4.7326922416687,91192/french-onion-soup-gratinee/,french,21.0g,3336mg,11g,0mg,French Onion Soup Gratinee,39.5g,35.9g,2758IU,0mg,31mg
French Bread,5mg,94,0mg,0.8g,60mcg,1mg,6mg,2mg,1k,41mg,2.9g,4.52357339859009,6882/french-bread/,french,0.0g,119mg,0g,0mg,French Bread,19.5g,0.3g,1IU,0mg,0mg
Rich and Simple French Onion Soup,451mg,585,98mg,2.7g,71mcg,2mg,41mg,7mg,1k,432mg,20.9g,4.59831237792969,13309/rich-and-simple-french-onion-soup/,french,24.0g,1578mg,6g,0mg,Rich and Simple French Onion Soup,27.9g,43.9g,1114IU,0mg,9mg
Ratatouille,271mg,251,18mg,7.4g,71mcg,2mg,71mg,6mg,1k,1049mg,12.7g,4.448307514190669,18411/ratatouille/,french,5.0g,327mg,13g,0mg,Ratatouille,24.3g,13.5g,1350IU,0mg,56mg
Chocolate Ganache,10mg,142,21mg,1.2g,1mcg,0mg,1mg,0mg,1k,71mg,1.4g,4.81244277954102,33647/chocolate-ganache/,french,7.0g,6mg,7g,0mg,Chocolate Ganache,9.4g,10.8g,220IU,0mg,0mg
Crepes,44mg,79,49mg,0.3g,26mcg,1mg,7mg,1mg,2k,74mg,3.7g,4.765137672424321,27188/crepes/,french,1.0g,30mg,2g,0mg,Crepes,9.5g,2.8g,119IU,0mg,0mg
Soba with Toasted Sesame Seed Sauce,247mg,355,0mg,4.5g,108mcg,5mg,139mg,7mg,188,526mg,14.2g,4.02551031112671,14024/soba-with-toasted-sesame-seed-sauce/,japanese,2.0g,1037mg,6g,0mg,Soba with Toasted Sesame Seed Sauce,57.3g,10.9g,618IU,0mg,65mg
Miso Salmon,98mg,719,132mg,2.8g,70mcg,3mg,97mg,27mg,81,956mg,50.5g,4.423728942871089,106227/miso-salmon/,japanese,7.0g,2247mg,24g,1mg,Miso Salmon,34.9g,40.5g,152IU,2mg,9mg
Teriyaki Rib Eye Steaks,19mg,297,60mg,0.2g,8mcg,2mg,26mg,4mg,101,336mg,19.6g,4.5,107586/teriyaki-rib-eye-steaks/,japanese,7.0g,992mg,12g,0mg,Teriyaki Rib Eye Steaks,13.5g,18.1g,4IU,0mg,1mg
Japanese Ginger Pork,15mg,289,55mg,0.1g,5mcg,1mg,22mg,8mg,40,298mg,18.8g,4.38888883590698,87392/japanese-ginger-pork/,japanese,5.0g,491mg,3g,1mg,Japanese Ginger Pork,3.6g,20.1g,6IU,0mg,0mg
Chicken Katsu,20mg,297,118mg,0.1g,16mcg,1mg,27mg,17mg,1k,239mg,31.2g,4.67315196990967,72068/chicken-katsu/,japanese,2.0g,251mg,0g,0mg,Chicken Katsu,22.2g,11.4g,79IU,1mg,0mg
Chicken Yakisoba,91mg,503,29mg,7.2g,82mcg,3mg,64mg,11mg,361,579mg,26.5g,4.54966878890991,230764/chicken-yakisoba/,japanese,2.0g,3868mg,10g,0mg,Chicken Yakisoba,69.8g,16.5g,6151IU,1mg,46mg
Quick Oyakodon,103mg,619,221mg,5.5g,296mcg,8mg,77mg,18mg,34,574mg,31g,4.40740728378296,71160/quick-oyakodon/,japanese,2.0g,2283mg,19g,1mg,Quick Oyakodon,106.1g,6.7g,667IU,1mg,18mg
Tonkatsu - Asian-Style Pork Chop,26mg,276,109mg,0g,12mcg,1mg,26mg,10mg,193,424mg,28.4g,4.40268468856812,58793/tonkatsu-asian-style-pork-chop/,japanese,4.0g,199mg,0g,1mg,Tonkatsu - Asian-Style Pork Chop,14.3g,13.2g,67IU,0mg,0mg
Japanese Okonomiyaki,138mg,659,217mg,8.3g,293mcg,7mg,63mg,14mg,57,717mg,29.3g,3.86153841018677,99392/japanese-okonomiyaki/,japanese,6.0g,1531mg,11g,1mg,Japanese Okonomiyaki,90.7g,19.4g,495IU,0mg,83mg
Yakisoba Chicken,69mg,295,46mg,3g,68mcg,2mg,80mg,16mg,784,565mg,26.3g,4.2952184677124,8628/yakisoba-chicken/,japanese,1.0g,1621mg,6g,0mg,Yakisoba Chicken,40.7g,4.8g,3488IU,1mg,32mg
Sesame Seared Tuna,207mg,422,77mg,2.3g,22mcg,4mg,155mg,26mg,590,879mg,44.1g,4.67895889282227,71698/sesame-seared-tuna/,japanese,3.0g,1045mg,6g,1mg,Sesame Seared Tuna,13.2g,20.7g,92IU,2mg,1mg
Japanese-Style Deep-Fried Shrimp,80mg,630,250mg,1.5g,77mcg,3mg,47mg,6mg,453,287mg,28.3g,4.832764625549321,127500/japanese-style-deep-fried-shrimp/,japanese,6.0g,763mg,0g,0mg,Japanese-Style Deep-Fried Shrimp,53.7g,36.6g,590IU,0mg,2mg
Japanese Beef Stir-Fry,91mg,290,39mg,2.6g,91mcg,4mg,46mg,10mg,393,568mg,26.4g,4.54883718490601,212636/japanese-beef-stir-fry/,japanese,2.0g,1271mg,7g,0mg,Japanese Beef Stir-Fry,26.4g,7.6g,3572IU,1mg,67mg
Sushi Roll,12mg,152,6mg,2.4g,62mcg,1mg,25mg,2mg,201,186mg,3.9g,4.40104150772095,24228/sushi-roll/,japanese,1.0g,703mg,7g,0mg,Sushi Roll,25.8g,3.9g,132IU,0mg,3mg
Gyoza,30mg,184,37mg,1.2g,37mcg,1mg,16mg,4mg,226,156mg,7.9g,4.43548393249512,27190/gyoza/,japanese,2.0g,546mg,1g,0mg,Gyoza,18.5g,8.5g,582IU,0mg,7mg
Glo's Sausage Fried Rice,93mg,540,155mg,4.8g,139mcg,4mg,46mg,6mg,168,476mg,17.3g,4.48765420913696,47022/glos-sausage-fried-rice/,japanese,10.0g,943mg,5g,1mg,Glo's Sausage Fried Rice,46.4g,31.7g,5230IU,0mg,43mg
Sesame Crusted Mahi Mahi with Soy Shiso Ginger Butter Sauce,189mg,502,192mg,2.6g,28mcg,4mg,88mg,18mg,134,930mg,35.6g,4.72413778305054,42231/sesame-crusted-mahi-mahi-with-soy-shiso-ginger-butter-sauce/,japanese,16.0g,776mg,1g,0mg,Sesame Crusted Mahi Mahi with Soy Shiso Ginger Butter Sauce,11g,34.6g,1401IU,1mg,16mg
